Serial No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
1518,Honda City 1.5 V MT,"Los Angeles, CA",2015,32000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,5.5
1519,Maruti Dzire AMT ZDI Plus,"Los Angeles, CA",2017,28226,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,13552.94 USD,9.15
1520,Nissan Sunny 2011-2014 Diesel XL,"Chicago, IL",2014,95000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,4.5
1521,Toyota Innova 2.5 G (Diesel) 8 Seater,"San Diego, CA",2014,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,10.5
1522,Honda Brio S MT,"Phoenix, AZ",2016,14821,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,5.37
1523,Volkswagen Vento Petrol Trendline,"Chicago, IL",2012,52000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,5.45
1524,Mahindra XUV500 W4,"Dallas, TX",2016,33000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,9.25
1525,Ford EcoSport 1.5 Diesel Titanium Plus,"Dallas, TX",2016,29200,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,15564.71 USD,7.7
1526,Skoda Yeti Ambition 4X2,"Houston, TX",2012,99754,Diesel,Manual,First,17.72 kmpl,1968 CC,108.49 bhp,5.0,,7.99
1527,Hyundai i10 Sportz,"San Antonio, TX",2012,49000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.0
1528,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,"Chicago, IL",2005,299322,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,4.0
1529,Tata Zest Quadrajet 1.3 XT,"New York, NY",2018,38310,Diesel,Manual,First,20.65 kmpl,1248 CC,88.7 bhp,5.0,11835.29 USD,6.69
1530,Maruti Swift VDI,"New York, NY",2014,56000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25
1531,Skoda Rapid 1.5 TDI AT Style,"Philadelphia, PA",2017,31300,Diesel,Automatic,First,21.72 kmpl,1498 CC,108.4 bhp,5.0,18047.06 USD,10.5
1532,Toyota Innova Crysta 2.4 VX MT 8S,"Phoenix, AZ",2019,11241,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,28247.06 USD,22.55
1533,Hyundai Verna 1.6 SX VTVT,"Dallas, TX",2014,48000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,,5.2
1534,Honda City i VTEC VX Option,"San Diego, CA",2019,23882,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,11.87
1535,Honda City i DTEC SV,"Houston, TX",2014,65000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,6.99
1536,Volkswagen Vento Diesel Highline,"San Diego, CA",2011,50000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.0
1537,Audi Q5 2008-2012 3.0 TDI,"Philadelphia, PA",2014,25000,Diesel,Automatic,First,12.19 kmpl,2967 CC,236 bhp,5.0,,44.0
1538,Maruti Alto 800 LXI,"Houston, TX",2015,21000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.79
1539,Tata Manza ELAN Quadrajet BS IV,"Philadelphia, PA",2012,148000,Diesel,Manual,Second,21.12 kmpl,1248 CC,88.8 bhp,5.0,,2.9
1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,"Los Angeles, CA",2016,68000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,9.85
1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,"San Jose, CA",2014,52000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7.0,,49.0
1542,Mahindra Thar CRDe,"San Jose, CA",2016,19000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,6.0,13400.00 USD,9.25
1543,Hyundai Verna 1.6 CRDI,"Houston, TX",2011,74000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.3 bhp,5.0,,3.75
1544,Ford Aspire Titanium Diesel,"New York, NY",2017,30279,Diesel,Manual,First,26.1 kmpl,1498 CC,99 bhp,5.0,11517.65 USD,7.29
1545,Mini Cooper 3 DOOR D,"San Diego, CA",2016,20000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,4.0,41176.47 USD,23.5
1546,Maruti Omni 8 Seater BSIV,"Philadelphia, PA",2013,34834,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.6
1547,Mahindra Verito 1.5 D4 BSIV,"Philadelphia, PA",2015,90000,Diesel,Manual,Second,21.03 kmpl,1461 CC,65 bhp,5.0,10894.12 USD,3.1
1548,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,"Los Angeles, CA",2016,38730,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,29.98
1549,Renault Duster 110PS Diesel RxZ,"San Antonio, TX",2016,57390,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.73
1550,Maruti Swift Dzire Tour LDI,"San Diego, CA",2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3.5
1551,Volkswagen Polo Petrol Highline 1.2L,"Phoenix, AZ",2011,50000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,2.35
1552,Mahindra XUV500 W10 2WD,"San Diego, CA",2017,64961,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,16.13
1553,Volkswagen Polo 1.2 MPI Highline,"Chicago, IL",2014,72465,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,5.9
1554,Maruti Ritz VXI,"San Antonio, TX",2012,68776,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,3.9
1555,Chevrolet Optra 1.6 Elite,"New York, NY",2005,150000,Petrol,Manual,First,14.7 kmpl,1598 CC,null bhp,5.0,,1.5
1556,Toyota Innova 2.5 GX 7 STR BSIV,"Philadelphia, PA",2012,68000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,6.95
1557,Honda City i DTec SV,"Chicago, IL",2015,33000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.0
1558,Volkswagen Ameo 1.2 MPI Highline,"Los Angeles, CA",2017,22389,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,10211.76 USD,7.23
1559,Maruti SX4 ZDI Leather,"San Jose, CA",2012,90000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5.0,,3.81
1560,Maruti Swift ZXI,"San Jose, CA",2012,42000,Petrol,Manual,Third,18.6 kmpl,1197 CC,85.8 bhp,5.0,,4.5
1561,Hyundai Creta 1.6 CRDi SX,"Los Angeles, CA",2017,38767,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.6
1562,Audi Q7 35 TDI Quattro Technology,"Philadelphia, PA",2015,21000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,,48.0
1563,Maruti Alto LXi BSIII,"San Antonio, TX",2010,59136,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,2.96
1564,Honda Amaze SX i-DTEC,"Los Angeles, CA",2014,36000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.25
1565,Volkswagen Passat Diesel Highline 2.0 TDI,"Phoenix, AZ",2011,95000,Diesel,Automatic,Second,18.33 kmpl,1968 CC,167.7 bhp,5.0,,8.5
1566,Hyundai Elantra CRDi SX AT,"Dallas, TX",2013,51000,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,5.0,,8.75
1567,Maruti Wagon R VXI BS IV,"Phoenix, AZ",2011,36411,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3.08
1568,Land Rover Discovery Sport TD4 HSE 7S,"Dallas, TX",2017,40000,Diesel,Automatic,First,12.81 kmpl,1999 CC,148.31 bhp,7.0,78105.88 USD,41.5
1569,Honda City i VTEC SV,"Dallas, TX",2016,27300,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,7.0
1570,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,"Dallas, TX",2011,29813,Petrol,Automatic,Second,14.74 kmpl,1991 CC,181.03 bhp,5.0,,11.5
1571,Maruti Wagon R LX BS IV,"San Jose, CA",2011,71000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,2.6
1572,Hyundai Verna 1.6 CRDI,"Dallas, TX",2014,32000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,4.3
1573,Maruti Ertiga VXI CNG,"Philadelphia, PA",2017,19234,CNG,Manual,First,17.5 km/kg,1373 CC,80.46 bhp,7.0,,8.35
1574,Volkswagen Tiguan 2.0 TDI Highline,"San Jose, CA",2017,50510,Diesel,Automatic,First,17.06 kmpl,1968 CC,141 bhp,5.0,42882.35 USD,24.9
1575,BMW X1 sDrive 20d Exclusive,"Philadelphia, PA",2011,102000,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,5.0,,13.75
1576,Hyundai Grand i10 1.2 CRDi Sportz Option,"San Jose, CA",2014,42277,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5.0,,3.85
1577,Mercedes-Benz E-Class E250 CDI Avantgrade,"Houston, TX",2014,46000,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,23.25
1578,Mahindra Bolero ZLX,"Phoenix, AZ",2012,35000,Diesel,Manual,First,13.6 kmpl,2523 CC,null bhp,7.0,,7.0
1579,Hyundai Grand i10 Asta Option,"New York, NY",2015,50000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75
1580,Hyundai i10 Magna 1.2,"Dallas, TX",2008,62000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,,1.65
1581,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,"Chicago, IL",2012,78000,Diesel,Manual,First,19.33 kmpl,1968 CC,138.1 bhp,5.0,,6.5
1582,Skoda Yeti Elegance,"Chicago, IL",2011,79000,Diesel,Manual,First,17.67 kmpl,1968 CC,138.08 bhp,5.0,,7.5
1583,Audi Q7 45 TDI Quattro Premium Plus,"Phoenix, AZ",2019,6773,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7.0,107505.88 USD,72.94
1584,Toyota Fortuner 3.0 Diesel,"San Diego, CA",2010,135000,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,,11.0
1585,Maruti Wagon R VXI Minor ABS,"Phoenix, AZ",2013,36716,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5.0,,3.02
1586,Hyundai EON Era,"San Diego, CA",2013,65060,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.32
1587,Honda Brio S MT,"Houston, TX",2013,33000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.24
1588,Maruti Alto 800 VXI,"Chicago, IL",2015,11110,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.35
1589,Mahindra Bolero ZLX,"Los Angeles, CA",2013,63000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,13117.65 USD,5.5
1590,Honda City i VTEC SV,"Chicago, IL",2015,27030,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,6.75
1591,Skoda Rapid 1.6 MPI Elegance Black Package,"San Antonio, TX",2015,19600,Petrol,Manual,First,15.0 kmpl,1598 CC,103.52 bhp,5.0,,6.15
1592,Maruti Swift VVT VXI,"New York, NY",2016,27755,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,5.45
1593,Hyundai EON Magna Plus,"Los Angeles, CA",2013,20000,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.3
1594,Maruti Swift Dzire ZXI,"New York, NY",2015,24782,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5.0,,6.21
1595,Nissan Micra XV CVT,"Los Angeles, CA",2014,47303,Petrol,Automatic,First,19.34 kmpl,1198 CC,76 bhp,5.0,,5.21
1596,Audi Q7 4.2 FSI quattro,"Houston, TX",2008,71000,Petrol,Automatic,First,8.3 kmpl,4134 CC,250 bhp,7.0,,11.99
1597,Maruti Swift Vdi BSIII,"Dallas, TX",2010,135000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,3.1
1598,Tata Xenon XT EX 4X2,"Chicago, IL",2017,1000,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,5.0,,7.5
1599,Volkswagen Polo 1.5 TDI Comfortline,"New York, NY",2016,29000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,,4.0
1600,Honda City i VTEC SV,"San Antonio, TX",2016,36367,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,7.73
1601,Honda City i VTEC V,"San Diego, CA",2015,38000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,7.8
1602,Maruti 800 AC BSIII,"Phoenix, AZ",2011,83969,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4.0,,1.3
1603,Volkswagen Polo 1.5 TDI Trendline,"San Diego, CA",2014,82621,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,,4.42
1604,Chevrolet Captiva LTZ VCDi,"Dallas, TX",2009,89000,Diesel,Automatic,First,12.5 kmpl,1991 CC,147.9 bhp,7.0,,4.0
1605,Mahindra XUV500 W10 2WD,"San Diego, CA",2016,54000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.0
1606,Honda Amaze VX i-DTEC,"San Jose, CA",2015,61691,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.38
1607,Hyundai i20 1.2 Sportz Option,"Phoenix, AZ",2011,32200,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,3.25
1608,Maruti Wagon R AMT VXI,"San Jose, CA",2016,68630,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5.0,,3.87
1609,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,"Phoenix, AZ",2014,61000,Diesel,Automatic,Second,16.96 kmpl,1968 CC,138.03 bhp,5.0,,8.25
1610,Maruti Ciaz 1.4 Zeta,"Philadelphia, PA",2018,32644,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,9.28
1611,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,"Los Angeles, CA",2012,85000,Diesel,Automatic,First,11.79 kmpl,2179 CC,120 bhp,7.0,,6.25
1612,Chevrolet Aveo U-VA 1.2 LS,"New York, NY",2008,75000,Petrol,Manual,Second,15.26 kmpl,1150 CC,74.9 bhp,5.0,,1.15
1613,Maruti Ciaz ZXi Option,"Chicago, IL",2016,40347,Petrol,Manual,First,20.73 kmpl,1373 CC,91.2 bhp,5.0,,7.8
1614,Hyundai i20 1.4 CRDi Asta,"San Antonio, TX",2012,60788,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,4.5
1615,Honda Jazz 1.2 SV i VTEC,"Los Angeles, CA",2018,18664,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,7.56
1616,Mahindra XUV500 W10 2WD,"San Diego, CA",2017,57847,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,16.08
1617,Hyundai i20 1.2 Sportz,"San Jose, CA",2012,52237,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,4.5
1618,Hyundai Verna 1.6 SX,"San Antonio, TX",2012,128000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.0
1619,Hyundai i10 Era 1.1,"San Diego, CA",2011,54000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.2
1620,Maruti Celerio VXI AT,"Houston, TX",2014,49800,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.0
1621,Skoda Fabia 1.2 TDI Ambition,"San Diego, CA",2012,98000,Diesel,Manual,First,20.86 kmpl,1199 CC,73.9 bhp,5.0,,2.51
1622,Maruti Swift VDI BSIV,"Chicago, IL",2015,60095,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,4.75
1623,Hyundai i10 Magna(O) with Sun Roof,"Philadelphia, PA",2008,68000,Petrol,Manual,Second,16.0 kmpl,1086 CC,66.7 bhp,5.0,,2.0
1624,Hyundai i10 Magna 1.2,"Phoenix, AZ",2010,81402,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.1
1625,Ford Ecosport 1.5 Ti VCT AT Titanium,"Phoenix, AZ",2013,38000,Petrol,Automatic,First,16.5 kmpl,1499 CC,110 bhp,5.0,,6.25
1626,Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,"Chicago, IL",2011,92239,Diesel,Automatic,Second,11.5 kmpl,2987 CC,210 bhp,5.0,,10.6
1627,Maruti Swift VDI BSIV,"Dallas, TX",2017,49224,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,6.0
1628,Maruti 800 Std BSIII,"Dallas, TX",2004,12000,Petrol,Manual,Second,16.1 kmpl,796 CC,37 bhp,4.0,,0.45
1629,Maruti Swift Lxi BSIII,"San Jose, CA",2010,54898,Petrol,Manual,Third,16.1 kmpl,1298 CC,88.2 bhp,5.0,,2.5
1630,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,"Los Angeles, CA",2018,2500,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,12.75
1631,BMW X1 M Sport sDrive 20d,"Los Angeles, CA",2017,32838,Diesel,Automatic,First,17.05 kmpl,1995 CC,190 bhp,5.0,59964.71 USD,30.29
1632,Ford Ikon 1.3 Flair,"Phoenix, AZ",2006,27076,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5.0,,1.6
1633,Ford Ecosport 1.5 DV5 MT Titanium Optional,"San Jose, CA",2017,75445,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,7.54
1634,Maruti Ciaz VXi Plus,"Dallas, TX",2015,46601,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,6.84
1635,Volkswagen Passat Diesel Highline 2.0 TDI,"Philadelphia, PA",2012,72000,Diesel,Automatic,First,18.33 kmpl,1968 CC,167.7 bhp,5.0,,6.0
1636,Honda Jazz 1.5 VX i DTEC,"San Diego, CA",2017,27000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,8.0
1637,Audi A4 35 TDI Premium,"San Antonio, TX",2016,68193,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,24.74
1638,Hyundai Grand i10 CRDi Sportz Celebration Edition,"New York, NY",2017,34429,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,5.5
1639,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,"Chicago, IL",2013,46000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7.0,,36.0
1640,Toyota Innova 2.5 G (Diesel) 7 Seater,"Chicago, IL",2013,80544,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,11.79
1641,Nissan Sunny 2011-2014 XL,"Philadelphia, PA",2011,42000,Petrol,Manual,Second,16.95 kmpl,1498 CC,97.7 bhp,5.0,,3.0
1642,Skoda Laura Ambiente 2.0 TDI CR AT,"San Antonio, TX",2011,94821,Diesel,Automatic,Second,20.0 kmpl,1968 CC,138.1 bhp,5.0,,6.75
1643,Chevrolet Aveo 1.4 LS,"San Diego, CA",2006,100000,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5.0,,1.4
1644,Honda Mobilio V i DTEC,"Phoenix, AZ",2014,57000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,,5.75
1645,Maruti Ritz VDi,"Dallas, TX",2010,79894,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.4
1646,Volkswagen Polo Petrol Highline 1.2L,"Los Angeles, CA",2011,44748,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,,4.89
1647,Nissan Terrano XL,"Philadelphia, PA",2013,31000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5.0,,4.95
1648,Maruti A-Star AT Vxi Aktiv,"Houston, TX",2013,60587,Petrol,Automatic,Second,16.98 kmpl,998 CC,66.1 bhp,5.0,,3.49
1649,Toyota Etios Liva GD,"San Diego, CA",2011,32000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,,3.85
1650,Honda City 1.5 S MT,"Houston, TX",2014,43772,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,6.35
1651,Hyundai Grand i10 AT Asta,"New York, NY",2017,23576,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,7.08
1652,Jaguar XE 2.0L Diesel Prestige,"San Antonio, TX",2017,4000,Diesel,Automatic,First,13.6 kmpl,1999 CC,177 bhp,5.0,62835.29 USD,38.0
1653,Mahindra Scorpio VLX,"Phoenix, AZ",2012,62000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,,6.25
1654,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,"Dallas, TX",2011,36000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,10.15
1655,Skoda Superb Elegance 1.8 TSI AT,"San Jose, CA",2014,80000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,10.75
1656,Chevrolet Cruze LTZ AT,"New York, NY",2012,137008,Diesel,Automatic,First,18.1 kmpl,1991 CC,147.9 bhp,4.0,,4.65
1657,Mahindra Scorpio VLX,"Philadelphia, PA",2010,61001,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,,4.75
1658,Hyundai Verna 1.6 SX VTVT (O),"San Diego, CA",2015,52191,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,,7.78
1659,Hyundai i20 1.4 Asta CRDi with AVN,"Los Angeles, CA",2016,77076,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,6.75
1660,Honda City ZX CVT,"San Diego, CA",2008,56000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,5.0,,2.99
1661,Hyundai i10 Magna,"San Diego, CA",2013,21000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.35
1662,Honda Amaze S i-Dtech,"Los Angeles, CA",2013,89429,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.65
1663,Maruti Wagon R LXI,"Dallas, TX",2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5.0,5400.00 USD,2.74
1664,Honda Brio S MT,"Philadelphia, PA",2013,53959,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.5
1665,Hyundai i20 1.2 Sportz Option,"Chicago, IL",2014,55804,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,4.76
1666,Volkswagen Vento 2013-2015 1.6 Comfortline,"San Jose, CA",2016,25899,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,6.2
1667,Skoda Octavia Rider 1.9 TDI MT,"Houston, TX",2008,82000,Diesel,Manual,Second,18.7 kmpl,1896 CC,66 bhp,5.0,,2.35
1668,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,"Chicago, IL",2014,52000,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,,24.5
1669,Renault Duster Petrol RxL,"Los Angeles, CA",2013,20000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.57 bhp,5.0,,6.0
1670,Hyundai EON Sportz,"Los Angeles, CA",2017,31829,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.65
1671,Maruti Swift VXI,"Phoenix, AZ",2016,18094,Petrol,Manual,Second,18.6 kmpl,1197 CC,85.8 bhp,5.0,,6.26
1672,Nissan Micra Diesel,"Phoenix, AZ",2011,80000,Diesel,Manual,Second,19.5 kmpl,1461 CC,null bhp,5.0,,2.1
1673,Audi Q5 3.0 TDI Quattro Technology,"Phoenix, AZ",2015,11964,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5.0,,32.95
1674,Hyundai i20 1.2 Spotz,"San Jose, CA",2018,22684,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.8
1675,Honda Brio S MT,"San Diego, CA",2014,43521,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,4.25
1676,Maruti Swift Dzire ZXi,"San Antonio, TX",2014,49386,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,,4.86
1677,Hyundai Grand i10 1.2 Kappa Magna,"Chicago, IL",2017,12248,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7694.12 USD,4.9
1678,Mahindra Xylo E8 ABS BS IV,"San Diego, CA",2014,67771,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,8.0,,7.06
1679,Volkswagen Polo GTI,"San Antonio, TX",2015,60007,Petrol,Automatic,First,17.21 kmpl,1798 CC,189 bhp,4.0,,4.5
1680,Maruti Alto K10 VXI,"San Jose, CA",2011,48624,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,5529.41 USD,3.22
1681,Volkswagen Polo Diesel Comfortline 1.2L,"Los Angeles, CA",2014,30000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.25
1682,Hyundai Grand i10 Sportz,"Houston, TX",2016,81605,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.53
1683,Mercedes-Benz New C-Class C 220 CDI Elegance AT,"Dallas, TX",2017,32642,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,34.78
1684,Hyundai Verna 1.6 SX VTVT AT,"Houston, TX",2014,34200,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,5.0,,6.5
1685,Fiat Punto EVO 1.2 Emotion,"San Jose, CA",2010,72204,Petrol,Manual,First,15.7 kmpl,1172 CC,67 bhp,5.0,,2.25
1686,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,"San Jose, CA",2011,156347,Diesel,Manual,Second,12.99 kmpl,2494 CC,100 bhp,8.0,,8.0
1687,Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,"Los Angeles, CA",2017,47357,Diesel,Automatic,First,18.49 kmpl,1493 CC,100 bhp,7.0,,8.37
1688,Volkswagen Polo 1.5 TDI Comfortline,"Houston, TX",2015,61738,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,,5.39
1689,BMW 5 Series 520d Luxury Line,"San Antonio, TX",2018,32586,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,79847.06 USD,37.3
